Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
720,4428680821733,9.0,0.0,4.24,5.89,5.89,2024-01-02
720,4426338980457,7.0,8.0,10.45,14.83,13.73,2024-01-02
720,5970005445,11.0,0.0,5.7,7.41,7.41,2024-01-02
720,4425657750219,4.0,23.0,2.52,4.6,3.74,2024-01-02
720,4427333878023,9.0,8.0,3.55,5.49,5.08,2024-01-02
720,4427033925495,9.0,0.0,2.92,3.84,3.84,2024-01-02
720,4425421901178,5.0,0.0,4.76,6.35,6.35,2024-01-02
720,4425421901250,7.0,0.0,5.17,6.9,6.9,2024-01-02
720,5970004986,-0.07,0.0,4.27,10.14,10.14,2024-01-02
720,4427861474250,6.0,0.0,12.05,16.47,16.47,2024-01-02
720,6536092421001,4.0,23.0,4.78,8.75,7.11,2024-01-02
720,7328798783261,3.0,8.0,3.68,4.83,4.48,2024-01-02
720,7329060574055,9.0,8.0,2.76,3.63,3.36,2024-01-02
720,4425713476590,10.0,8.0,2.59,3.9,3.62,2024-01-02
720,4425713476590,10.0,8.0,3.66,5.51,5.11,2024-01-02
720,5970005145,10.0,0.0,6.75,8.52,8.52,2024-01-02
720,4425615005826,9.0,0.0,3.65,4.88,4.88,2024-01-02
720,7328423093551,9.0,8.0,3.38,4.45,4.12,2024-01-02
720,5970005196,8.0,0.0,2.98,3.86,3.86,2024-01-02
720,5970005445,10.0,0.0,3.66,4.76,4.76,2024-01-02
720,4425522763246,7.0,0.0,6.35,8.59,8.59,2024-01-02
720,4429867414502,4.0,8.0,3.33,4.9,4.56,2024-01-02
720,4426732500537,3.0,0.0,9.36,12.57,12.57,2024-01-02
720,5970005881,8.45,0.0,2.67,3.92,3.92,2024-01-02
720,5970005694,1.65,0.0,2.01,3.0,3.0,2024-01-02
720,5970005039,8.0,0.0,8.83,11.48,11.48,2024-01-02
720,7328423654567,3.0,8.0,4.17,5.5,5.09,2024-01-02
720,7328798783261,6.0,8.0,3.72,4.88,4.53,2024-01-02
720,4427820527826,7.0,23.0,3.53,6.58,5.36,2024-01-02
720,4425707164911,9.0,23.0,3.73,7.29,5.92,2024-01-02
720,4425729000873,8.0,0.0,4.11,5.66,5.66,2024-01-02
720,5970005937,2.03,0.0,2.97,4.44,4.44,2024-01-02
720,4425297023529,3.0,23.0,4.42,7.41,6.02,2024-01-02
720,5716657955905,4.0,0.0,1.23,1.67,1.67,2024-01-02
720,5716657955905,4.0,0.0,1.72,2.33,2.33,2024-01-02
720,3034676075514,8.0,23.0,14.03,23.68,19.25,2024-01-02
720,5970005046,9.0,0.0,4.61,5.98,5.98,2024-01-02
720,5970005916,5.0,0.0,3.8,5.77,5.77,2024-01-02
720,3010875386312,11.0,0.0,11.46,14.56,14.56,2024-01-02
720,4425518273279,10.0,0.0,6.04,8.01,8.01,2024-01-02
720,5970005196,17.0,0.0,9.31,12.04,12.04,2024-01-02
720,5970005448,8.0,0.0,15.35,4.89,4.89,2024-01-02
720,7328798783261,10.0,8.0,3.58,4.7,4.36,2024-01-02
720,7328426018550,3.0,8.0,3.38,4.44,4.11,2024-01-02
720,4425615005826,6.0,0.0,5.56,7.44,7.44,2024-01-02
720,5970005846,2.89,0.0,1.54,2.3,2.3,2024-01-02
720,4425615005826,2.0,0.0,5.43,7.27,7.27,2024-01-02
