Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
268,4425143260443,6.0,23.0,37.4,55.98,45.5,2024-01-03
268,4086750025889,7.0,23.0,6.11,9.87,8.02,2024-01-03
268,4426461001188,9.0,0.0,12.97,15.87,15.87,2024-01-03
268,4425171750500,8.0,0.0,6.01,6.65,6.65,2024-01-03
268,4425421868433,2.0,0.0,4.84,7.09,7.09,2024-01-03
268,4426060650029,5.0,0.0,0.97,1.29,1.29,2024-01-03
268,202500150,9.0,0.0,0.0,1.46,1.46,2024-01-03
268,4426461001085,7.0,0.0,3.9,4.9,4.9,2024-01-03
268,202500225,2.0,0.0,0.0,12.16,12.16,2024-01-03
268,4427715759138,9.0,23.0,9.69,12.06,9.81,2024-01-03
268,202500150,11.0,0.0,0.0,5.3,5.3,2024-01-03
268,4427820525243,2.0,23.0,0.75,1.31,1.06,2024-01-03
268,4427820525243,9.0,23.0,0.68,1.19,0.96,2024-01-03
268,4427907414759,2.0,23.0,1.41,2.43,1.98,2024-01-03
268,4426461001085,4.0,0.0,3.09,3.88,3.88,2024-01-03
268,4425384637512,9.0,0.0,5.62,7.47,7.47,2024-01-03
268,202500150,4.0,0.0,0.0,21.07,21.07,2024-01-03
268,4086750000747,7.0,23.0,2.37,3.88,3.16,2024-01-03
268,4426558500076,9.0,23.0,1.29,2.18,1.78,2024-01-03
268,4430421002687,5.0,23.0,0.13,0.9,0.73,2024-01-03
268,204323925,1.14,0.0,1.17,1.41,1.41,2024-01-03
268,202500075,9.0,0.0,0.0,9.91,9.91,2024-01-03
268,4427820527253,5.0,0.0,3.76,4.71,4.71,2024-01-03
268,202500150,12.0,0.0,0.0,7.55,7.55,2024-01-03
268,4430060486131,10.0,0.0,1.57,2.38,2.38,2024-01-03
268,204319125,9.8,0.0,6.59,9.4,9.4,2024-01-03
268,4426406175129,2.0,0.0,6.51,8.54,8.54,2024-01-03
268,4427028750374,9.0,23.0,3.94,6.65,5.4,2024-01-03
268,4426461001085,10.0,0.0,7.84,9.85,9.85,2024-01-03
268,202504275,5.0,8.0,0.0,3.2,2.97,2024-01-03
268,202504275,2.0,8.0,0.0,10.8,10.0,2024-01-03
268,4425398250007,7.0,0.0,3.23,3.88,3.88,2024-01-03
268,4425425261709,6.0,0.0,7.51,8.26,8.26,2024-01-03
268,202504275,7.0,8.0,0.0,2.5,2.31,2024-01-03
268,202504275,9.0,8.0,0.0,2.7,2.5,2024-01-03
268,4427233530527,11.0,0.0,4.61,6.16,6.16,2024-01-03
268,4426461001085,6.0,0.0,3.24,4.07,4.07,2024-01-03
268,202500150,7.0,0.0,0.0,8.42,8.42,2024-01-03
268,4425384082703,7.0,0.0,13.48,17.88,17.88,2024-01-03
268,4432493264598,6.0,8.0,3.42,5.38,4.98,2024-01-03
268,4427715900115,8.0,23.0,11.84,15.22,12.37,2024-01-03
268,4426929753195,10.0,23.0,22.53,36.62,29.77,2024-01-03
268,3023025084468,8.0,23.0,12.18,15.47,12.57,2024-01-03
268,3023025084468,3.0,23.0,18.75,23.82,19.36,2024-01-03
268,4425615000008,2.0,0.0,4.62,5.76,5.76,2024-01-03
268,202500150,6.0,0.0,0.0,1.8,1.8,2024-01-03
268,4426222500156,5.0,0.0,3.17,4.34,4.34,2024-01-03
268,4425295504871,6.0,0.0,1.74,2.68,2.68,2024-01-03
268,4425295504871,10.0,0.0,1.8,2.78,2.78,2024-01-03
268,3617308219652,9.0,23.0,3.33,5.47,4.44,2024-01-03
268,202504275,4.0,8.0,0.0,3.7,3.43,2024-01-03
268,202500150,6.0,0.0,0.0,6.46,6.46,2024-01-03
268,4425010503828,4.0,23.0,8.01,13.94,11.32,2024-01-03
268,5716657732344,2.0,0.0,1.36,2.7,2.7,2024-01-03
268,202500450,9.0,0.0,0.0,5.67,5.67,2024-01-03
268,4426994922551,10.0,0.0,9.4,13.66,13.66,2024-01-03
268,202500150,10.0,0.0,0.0,1.13,1.13,2024-01-03
268,4426461001085,4.0,0.0,2.81,3.54,3.54,2024-01-03
268,4425591150025,8.0,23.0,9.55,13.26,10.79,2024-01-03
268,4425250500247,10.0,0.0,2.2,3.04,3.04,2024-01-03
268,202500150,11.0,0.0,0.0,1.71,1.71,2024-01-03
268,4425414009544,6.0,0.0,0.89,1.43,1.43,2024-01-03
268,4425327777914,10.0,0.0,1.74,2.43,2.43,2024-01-03
268,204320700,9.42,0.0,5.6,6.1,6.1,2024-01-03
268,202500075,9.0,0.0,0.0,4.71,4.71,2024-01-03
268,202505100,10.0,23.0,0.0,0.65,0.52,2024-01-03
268,202504275,4.0,8.0,0.0,4.88,4.53,2024-01-03
268,4425591150025,6.0,23.0,6.02,8.35,6.8,2024-01-03
268,202500150,7.0,0.0,0.0,1.6,1.6,2024-01-03
268,202500150,6.0,0.0,0.0,1.48,1.48,2024-01-03
268,4425327777914,7.0,0.0,2.88,4.03,4.03,2024-01-03
268,5709777728257,8.0,0.0,2.28,3.15,3.15,2024-01-03
268,5709777728242,4.0,0.0,2.56,3.53,3.53,2024-01-03
268,4430421002687,4.0,23.0,0.13,0.84,0.68,2024-01-03
268,202500150,12.0,0.0,0.0,12.88,12.88,2024-01-03
268,202500150,6.0,0.0,0.0,6.88,6.88,2024-01-03
268,204313725,2.6,0.0,5.07,5.72,5.72,2024-01-03
268,202500150,3.0,0.0,0.0,1.63,1.63,2024-01-03
268,202500075,8.0,0.0,0.0,7.81,7.81,2024-01-03
268,204322275,7.0,0.0,11.98,14.67,14.67,2024-01-03
268,204321975,3.53,0.0,3.81,4.78,4.78,2024-01-03
268,202500150,5.0,0.0,0.0,12.89,12.89,2024-01-03
268,4427820525865,8.0,23.0,1.83,3.03,2.48,2024-01-03
268,4427820525865,7.0,23.0,1.09,1.8,1.48,2024-01-03
268,202500150,9.0,0.0,0.0,8.18,8.18,2024-01-03
268,202500150,2.0,0.0,0.0,11.33,11.33,2024-01-03
268,4425713271376,2.0,0.0,4.19,6.09,6.09,2024-01-03
268,4426558522500,2.0,23.0,1.28,2.06,1.67,2024-01-03
268,4428942007535,9.0,23.0,1.68,2.99,2.44,2024-01-03
268,30108549,9.0,23.0,2.42,4.39,3.57,2024-01-03
268,6517894549275,9.0,0.0,1.35,1.94,1.94,2024-01-03
268,65331162,4.0,23.0,2.65,5.76,4.69,2024-01-03
268,4425414011034,3.0,23.0,1.7,3.31,2.7,2024-01-03
268,202500150,8.0,0.0,0.0,1.79,1.79,2024-01-03
268,204313725,6.27,0.0,2.25,2.53,2.53,2024-01-03
268,4425425266907,9.0,0.0,4.87,6.6,6.6,2024-01-03
268,202500450,5.0,0.0,0.0,2.27,2.27,2024-01-03
268,202500525,4.0,23.0,0.0,9.61,7.82,2024-01-03
268,204313725,1.28,0.0,2.09,2.36,2.36,2024-01-03
268,202500150,4.0,0.0,0.0,2.32,2.32,2024-01-03
268,202500150,5.0,0.0,0.0,5.08,5.08,2024-01-03
268,202500150,6.0,0.0,0.0,3.23,3.23,2024-01-03
268,4425405750046,10.0,23.0,2.11,3.36,2.72,2024-01-03
268,4425405750046,9.0,23.0,1.53,2.43,1.97,2024-01-03
268,202500150,2.0,0.0,0.0,6.47,6.47,2024-01-03
