Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
218,4428879483434,5.0,23.0,7.01,9.19,7.47,2024-01-02
218,4425401251543,10.0,23.0,2.08,3.3,2.68,2024-01-02
218,3982512034,10.0,0.0,10.22,12.69,12.69,2024-01-02
218,3982512035,12.0,0.0,5.98,7.64,7.64,2024-01-02
218,3982512035,7.0,0.0,4.25,5.43,5.43,2024-01-02
218,44271996,3.0,23.0,18.16,23.36,18.99,2024-01-02
218,4425010503183,12.0,23.0,8.45,13.13,10.66,2024-01-02
218,3982512034,8.0,0.0,8.29,10.3,10.3,2024-01-02
218,4425401251543,4.0,23.0,3.5,5.55,4.5,2024-01-02
218,4425257251454,3.0,23.0,46.69,72.89,59.26,2024-01-02
218,4426947347289,5.0,0.0,8.8,11.12,11.12,2024-01-02
218,60662689,6.0,23.0,1.56,2.39,1.94,2024-01-02
218,31552456,8.0,8.0,1.82,2.58,2.4,2024-01-02
218,5716651290699,8.0,0.0,2.87,3.1,3.1,2024-01-02
218,4425405750012,9.0,23.0,1.65,2.73,2.22,2024-01-02
218,3982512035,15.0,0.0,5.16,6.6,6.6,2024-01-02
218,3982512034,6.0,0.0,2.08,2.58,2.58,2024-01-02
218,39834295306,8.0,0.0,2.06,1.66,1.66,2024-01-02
218,4427715877842,2.0,23.0,15.88,20.75,16.87,2024-01-02
218,4427715877842,10.0,23.0,13.99,18.27,14.86,2024-01-02
218,4427311651165,10.0,23.0,2.6,4.02,3.26,2024-01-02
218,3758873320885,2.0,8.0,3.9,5.6,5.19,2024-01-02
218,4086750000747,10.0,23.0,4.28,6.87,5.59,2024-01-02
218,4427715946688,3.0,23.0,16.14,21.1,17.15,2024-01-02
218,4425353268989,10.0,23.0,27.27,40.91,33.25,2024-01-02
218,3982512035,5.0,0.0,2.42,3.1,3.1,2024-01-02
218,3982512034,5.0,0.0,8.09,10.05,10.05,2024-01-02
218,3982512035,10.0,0.0,2.0,2.56,2.56,2024-01-02
218,44259498,10.0,23.0,11.36,14.77,12.0,2024-01-02
218,4058139774622,10.0,23.0,2.62,5.0,4.06,2024-01-02
218,3982512034,5.0,0.0,3.96,4.92,4.92,2024-01-02
218,3982512034,8.0,0.0,4.18,5.18,5.18,2024-01-02
218,37629903,4.0,8.0,2.11,2.94,2.72,2024-01-02
218,4427715946688,5.0,23.0,12.85,16.79,13.65,2024-01-02
218,3982512034,5.0,0.0,3.67,4.55,4.55,2024-01-02
218,3982512034,10.0,0.0,9.05,11.23,11.23,2024-01-02
218,39834289271,13.0,0.0,3.65,4.64,4.64,2024-01-02
218,44272001,6.0,23.0,11.87,15.28,12.42,2024-01-02
218,3982512033,10.0,0.0,6.42,8.18,8.18,2024-01-02
218,3982512035,9.0,0.0,5.58,7.13,7.13,2024-01-02
218,4425264011796,6.0,0.0,2.97,3.99,3.99,2024-01-02
218,44300805,5.0,23.0,27.92,35.93,29.21,2024-01-02
218,4430843775431,4.0,23.0,41.48,54.28,44.13,2024-01-02
218,4425298522078,4.0,23.0,72.01,107.26,87.2,2024-01-02
218,65331162,4.0,23.0,3.1,5.33,4.34,2024-01-02
218,44272001,8.0,23.0,29.41,37.86,30.77,2024-01-02
218,3982512033,7.0,0.0,9.22,11.76,11.76,2024-01-02
218,3982512034,3.0,0.0,4.32,5.36,5.36,2024-01-02
218,3982512034,5.0,0.0,3.79,4.71,4.71,2024-01-02
218,4425257251390,10.0,23.0,18.0,27.01,21.96,2024-01-02
218,3982512033,3.5,0.0,3.34,4.25,4.25,2024-01-02
218,3982512034,6.0,0.0,2.28,2.83,2.83,2024-01-02
218,4086750040670,6.0,23.0,5.22,8.62,7.01,2024-01-02
218,3982512034,10.0,0.0,5.34,6.63,6.63,2024-01-02
218,6751867655455,10.0,23.0,7.32,11.99,9.75,2024-01-02
218,44265702,9.0,23.0,12.87,16.67,13.55,2024-01-02
218,44265702,10.0,23.0,21.08,27.32,22.21,2024-01-02
218,3982512033,9.0,0.0,7.34,9.36,9.36,2024-01-02
218,4426169872506,8.0,23.0,1.75,2.86,2.32,2024-01-02
218,4426169962007,9.0,23.0,4.99,7.99,6.5,2024-01-02
218,4427355815895,7.0,23.0,17.17,22.24,18.08,2024-01-02
218,4426947347283,6.0,0.0,9.14,11.66,11.66,2024-01-02
218,4427715946688,3.0,23.0,18.81,24.58,19.98,2024-01-02
218,4426947347289,6.0,0.0,4.96,6.26,6.26,2024-01-02
218,4427715901362,10.0,23.0,17.94,23.44,19.06,2024-01-02
218,4427715833748,10.0,23.0,15.49,20.24,16.45,2024-01-02
218,4427820527911,10.0,23.0,2.73,4.2,3.41,2024-01-02
218,3982512032,8.0,0.0,8.1,10.07,10.07,2024-01-02
218,3982512034,5.0,0.0,4.54,5.63,5.63,2024-01-02
218,4426947347278,6.0,0.0,5.41,6.87,6.87,2024-01-02
218,7328798783261,4.0,8.0,3.43,4.71,4.37,2024-01-02
218,3982512034,11.0,0.0,5.4,6.71,6.71,2024-01-02
218,3982512035,13.0,0.0,5.46,6.98,6.98,2024-01-02
218,65331162,4.0,23.0,1.89,3.25,2.64,2024-01-02
218,3982512035,15.0,0.0,9.33,11.92,11.92,2024-01-02
218,3982520715,9.0,0.0,4.37,5.41,5.41,2024-01-02
218,3982512032,9.0,0.0,11.32,14.08,14.08,2024-01-02
218,44272001,5.0,23.0,15.27,19.65,15.97,2024-01-02
218,39834289271,10.0,0.0,3.75,4.77,4.77,2024-01-02
218,4425476250016,10.0,23.0,2.44,3.84,3.12,2024-01-02
218,3982512032,3.0,0.0,7.01,8.71,8.71,2024-01-02
218,4427715924305,6.0,23.0,11.68,14.97,12.17,2024-01-02
218,4430843775426,10.0,23.0,23.31,30.4,24.71,2024-01-02
218,7328798783496,3.0,8.0,3.16,4.91,4.55,2024-01-02
218,4428193103949,3.0,23.0,9.94,15.45,12.56,2024-01-02
218,4430596012581,2.0,0.0,4.43,5.6,5.6,2024-01-02
218,44300805,10.0,23.0,16.36,21.05,17.11,2024-01-02
218,44300805,4.0,23.0,20.29,26.1,21.22,2024-01-02
218,3982512032,10.0,0.0,9.28,11.54,11.54,2024-01-02
218,7328798783261,10.0,8.0,2.82,3.88,3.6,2024-01-02
218,4086750040670,3.0,23.0,5.59,9.25,7.52,2024-01-02
218,4425657750186,8.0,23.0,3.37,5.2,4.24,2024-01-02
218,4426947347283,6.0,0.0,5.62,7.17,7.17,2024-01-02
218,4425405750046,18.0,23.0,18.8,33.01,26.8,2024-01-02
218,4426558515000,3.0,23.0,2.19,3.75,3.05,2024-01-02
218,4426169872506,8.0,23.0,2.59,4.25,3.45,2024-01-02
218,3982512034,6.0,0.0,6.98,8.67,8.67,2024-01-02
218,4426169347500,10.0,23.0,3.23,5.05,4.11,2024-01-02
218,4426169347500,5.0,23.0,1.91,2.98,2.43,2024-01-02
218,3022950036954,7.0,23.0,32.51,42.21,34.32,2024-01-02
218,44280660,3.0,23.0,19.55,25.16,20.46,2024-01-02
218,7328799205807,9.0,8.0,3.63,5.7,5.27,2024-01-02
218,4430843776368,8.0,23.0,19.69,25.35,20.61,2024-01-02
218,4426169872506,8.0,23.0,2.65,4.35,3.53,2024-01-02
218,4425010501635,11.0,23.0,5.16,8.44,6.85,2024-01-02
218,44272001,3.0,23.0,15.96,20.54,16.69,2024-01-02
218,7328800604552,10.0,8.0,21.02,26.13,24.19,2024-01-02
218,7328570944801,7.0,8.0,10.96,13.88,12.86,2024-01-02
218,7328800126804,7.0,8.0,18.76,24.26,22.47,2024-01-02
218,44297852,12.0,23.0,92.94,120.35,97.83,2024-01-02
218,44272001,5.0,23.0,24.53,31.58,25.67,2024-01-02
218,4426929757806,5.0,23.0,11.64,17.66,14.36,2024-01-02
218,3982512032,6.0,0.0,7.46,9.28,9.28,2024-01-02
218,4425250511815,7.0,0.0,2.94,3.97,3.97,2024-01-02
218,44275485,10.0,23.0,18.59,24.06,19.56,2024-01-02
218,44291918,3.0,23.0,14.78,19.24,15.64,2024-01-02
218,4426019454160,5.0,23.0,52.36,80.69,65.58,2024-01-02
218,4426929757794,5.0,23.0,5.36,8.15,6.63,2024-01-02
218,4426947347278,5.0,0.0,7.18,9.11,9.11,2024-01-02
218,4425257251419,2.0,23.0,24.74,38.37,31.2,2024-01-02
218,4425010503183,6.0,23.0,2.87,4.46,3.62,2024-01-02
218,4425010503183,3.0,23.0,2.28,3.55,2.88,2024-01-02
218,3982512033,1.5,0.0,4.99,6.36,6.36,2024-01-02
218,3982512033,4.5,0.0,4.44,5.66,5.66,2024-01-02
218,3982512034,6.0,0.0,2.09,2.6,2.6,2024-01-02
218,4426169884500,7.0,23.0,12.37,19.53,15.88,2024-01-02
218,44272001,8.0,23.0,10.89,14.02,11.39,2024-01-02
218,3982512034,5.0,0.0,5.09,6.31,6.31,2024-01-02
218,4425257258152,4.0,23.0,5.97,7.78,6.31,2024-01-02
218,3982512034,12.0,0.0,9.81,12.17,12.17,2024-01-02
218,3982512033,6.0,0.0,6.34,8.09,8.09,2024-01-02
218,4427393264377,2.0,23.0,16.1,20.91,17.0,2024-01-02
218,4427393264377,9.0,23.0,13.99,18.17,14.77,2024-01-02
218,5716657732344,12.0,0.0,7.27,9.84,9.84,2024-01-02
218,3982512034,5.0,0.0,5.81,7.21,7.21,2024-01-02
