Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
891,3010875004569,10.0,0.0,2.69,2.75,2.75,2024-01-03
891,4427076677556,5.0,23.0,3.06,5.09,4.14,2024-01-03
891,4427715893607,6.0,23.0,10.51,13.64,11.09,2024-01-03
891,4425010503183,5.0,23.0,0.01,4.38,3.57,2024-01-03
891,4425372765418,4.0,23.0,2.78,4.68,3.81,2024-01-03
891,6218883675,8.0,0.0,5.3,7.23,7.23,2024-01-03
891,6218883450,8.0,0.0,3.1,4.57,4.57,2024-01-03
891,6219911400,4.0,0.0,5.56,7.18,7.18,2024-01-03
891,4425713260981,8.0,23.0,3.54,4.87,3.95,2024-01-03
891,4425414011034,8.0,23.0,1.46,2.67,2.17,2024-01-03
891,4425372764487,6.0,23.0,5.24,9.35,7.6,2024-01-03
891,4425150005159,8.0,0.0,3.29,5.11,5.11,2024-01-03
891,4430580797420,10.0,23.0,29.16,38.08,30.95,2024-01-03
891,6218883450,8.0,0.0,9.13,13.5,13.5,2024-01-03
891,6218883675,4.0,0.0,3.18,4.34,4.34,2024-01-03
891,6218884575,8.0,0.0,4.13,5.36,5.36,2024-01-03
891,6218883450,6.0,0.0,2.33,3.44,3.44,2024-01-03
891,4425615004128,6.0,0.0,5.02,5.88,5.88,2024-01-03
891,4426140000044,4.0,23.0,1.88,3.15,2.57,2024-01-03
891,4427715908764,4.0,23.0,14.4,18.58,15.11,2024-01-03
891,6219923100,6.0,23.0,0.03,1.69,1.38,2024-01-03
891,4425257251419,4.0,23.0,15.69,22.9,18.62,2024-01-03
891,4427820527901,7.0,23.0,0.97,1.69,1.37,2024-01-03
891,4427820529025,7.0,0.0,2.04,2.4,2.4,2024-01-03
891,4427820526198,2.0,0.0,2.58,3.61,3.61,2024-01-03
891,4425372772659,8.0,23.0,2.85,4.61,3.75,2024-01-03
891,4427820526032,2.0,0.0,2.34,3.35,3.35,2024-01-03
891,4426169355006,11.0,23.0,15.14,27.67,22.51,2024-01-03
891,6219911400,10.0,0.0,11.11,14.34,14.34,2024-01-03
891,4431196267527,7.0,23.0,0.64,1.64,1.34,2024-01-03
891,6219911400,2.0,0.0,4.06,5.23,5.23,2024-01-03
891,4430515500872,10.0,23.0,4.41,7.28,5.91,2024-01-03
891,6219911400,10.0,0.0,9.29,11.99,11.99,2024-01-03
